source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
MED	31062459	MRI-Based Radiomics Signature for the Preoperative Prediction of Extracapsular Extension of Prostate Cancer.	2019	J Magn Reson Imaging	Ma S, Xie H, Wang H, Han C, Yang J, Lin Z, Li Y, He Q, Wang R, Cui Y, Zhang X, Wang X.	JOURNAL ARTICLE	backward	2	REC-AIBIOGU-000102;REC-AIBIOGU-000148	new		yes	yes	yes
MED	31392526	Machine learning applications in prostate cancer magnetic resonance imaging.	2019	Eur Radiol Exp	Cuocolo R, Cipullo MB, Stanzione A, Ugga L, Romeo V, Radice L, Brunetti A, Imbriaco M.	JOURNAL ARTICLE	backward	2	REC-AIBIOGU-000102;REC-AIBIOGU-000148	new		yes	yes	yes
MED	31187216	Machine learning classifiers can predict Gleason pattern 4 prostate cancer with greater accuracy than experienced radiologists.	2019	Eur Radiol	Antonelli M, Johnston EW, Dikaios N, Cheung KK, Sidhu HS, Appayya MB, Giganti F, Simmons LAM, Freeman A, Allen C, Ahmed HU, Atkinson D, Ourselin S, Punwani S.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000569	new		yes	yes	yes
MED	31808980	Multiparametric MRI-Based Radiomics for Prostate Cancer Screening With PSA in 4-10 ng/mL to Reduce Unnecessary Biopsies.	2019	J Magn Reson Imaging	Qi Y, Zhang S, Wei J, Zhang G, Lei J, Yan W, Xiao Y, Yan S, Xue H, Feng F, Sun H, Tian J, Jin Z.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000148	new		yes	yes	yes
MED	31324828	Pan-Renal Cell Carcinoma classification and survival prediction from histopathology images using deep learning.	2019	Sci Rep	Tabibu S, Vinod PK, Jawahar CV.	JOURNAL ARTICLE	backward	2	REC-AIBIOGU-000569;REC-AIBIOGU-000623	new		yes	yes	yes
MED	31428684	Prediction of Recurrence-associated Death from Localized Prostate Cancer with a Charlson Comorbidity Index-reinforced Machine Learning Model.	2019	Open Med (Wars)	Lin YT, Lee MT, Huang YC, Liu CK, Li YT, Chen M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000194	new		yes	yes	yes
MED	31553660	Radiologic-Radiomic Machine Learning Models for Differentiation of Benign and Malignant Solid Renal Masses: Comparison With Expert-Level Radiologists.	2019	AJR Am J Roentgenol	Sun XY, Feng QX, Xu X, Zhang J, Zhu FP, Yang YH, Zhang YD.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000373	new		yes	yes	yes
MED	31283771	Radiomics and machine learning of multisequence multiparametric prostate MRI: Towards improved non-invasive prostate cancer characterization.	2019	PLoS One	Toivonen J, Montoya Perez I, Movahedi P, Merisaari H, Pesola M, Taimen P, Bostrom PJ, Pohjankukka J, Kiviniemi A, Pahikkala T, Aronen HJ, Jambor I.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000102	new		yes	yes	yes
MED	31640781	Random forest-based modelling to detect biomarkers for prostate cancer progression.	2019	Clin Epigenetics	Toth R, Schiffmann H, Hube-Magg C, Buscheck F, Hoflmayer D, Weidemann S, Lebok P, Fraune C, Minner S, Schlomm T, Sauter G, Plass C, Assenov Y, Simon R, Meiners J, Gerhauser C.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000194	new		yes	yes	yes
MED	31850202	Study Progress of Radiomics With Machine Learning for Precision Medicine in Bladder Cancer Management.	2019	Front Oncol	Ge L, Chen Y, Yan C, Zhao P, Zhang P, A R, Liu J.	review-article; review; journal article	forward	2	REC-AIBIOGU-000365;REC-AIBIOGU-000367	new		yes	yes	yes
MED	31098732	The Classification of Renal Cancer in 3-Phase CT Images Using a Deep Learning Method.	2019	J Digit Imaging	Han S, Hwang SI, Lee HJ.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000491	new		yes	yes	yes
MED	30973779	Unenhanced CT Texture Analysis of Clear Cell Renal Cell Carcinomas: A Machine Learning-Based Study for Predicting Histopathologic Nuclear Grade.	2019	AJR Am J Roentgenol	Kocak B, Durmaz ES, Ates E, Kaya OK, Kilickesmez O.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	32526669	A CT-based deep learning model for predicting the nuclear grade of clear cell renal cell carcinoma.	2020	Eur J Radiol	Lin F, Ma C, Xu J, Lei Y, Li Q, Lan Y, Sun M, Long W, Cui E.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	32468251	A CT-based radiomics model to detect prostate cancer lymph node metastases in PSMA radioguided surgery patients.	2020	Eur J Nucl Med Mol Imaging	Peeken JC, Shouman MA, Kroenke M, Rauscher I, Maurer T, Gschwend JE, Eiber M, Combs SE.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000138	new		yes	yes	yes
MED	33235893	A review of current advancements and limitations of artificial intelligence in genitourinary cancers.	2020	Am J Clin Exp Urol	Pai RK, Van Booven DJ, Parmar M, Lokeshwar SD, Shah K, Ramasamy R, Arora H.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000040	new		yes	yes	yes
MED	32898525	An overview of advances in multi-omics analysis in prostate cancer.	2020	Life Sci	Zhang E, Zhang M, Shi C, Sun L, Shan L, Zhang H, Song Y.	review; journal article	forward	1	REC-AIBIOGU-000197	new		yes	yes	yes
MED	32905456	Applications of radiomics in genitourinary tumors.	2020	Am J Cancer Res	Liu L, Yi X, Lu C, Qi L, Zhang Y, Li M, Xiao Q, Wang C, Zhang L, Pang Y, Wang Y, Guan X.	JOURNAL ARTICLE	both	6	REC-AIBIOGU-000365;REC-AIBIOGU-000367;REC-AIBIOGU-000368;REC-AIBIOGU-000566;REC-AIBIOGU-000695;REC-AIBIOGU-000696	new		yes	yes	yes
MED	32479253	Artificial intelligence (AI) in urology-Current use and future directions: An iTRUE study.	2020	Turk J Urol	Shah M, Naik N, Somani BK, Hameed BMZ.	review-article; review; journal article	forward	1	REC-AIBIOGU-000561	new		yes	yes	yes
MED	31833725	Artificial intelligence and neural networks in urology: current clinical applications.	2020	Minerva Urol Nefrol	Checcucci E, Autorino R, Cacciamani GE, Amparore D, De Cillis S, Piana A, Piazzolla P, Vezzetti E, Fiori C, Veneziano D, Tewari A, Dasgupta P, Hung A, Gill I, Porpiglia F, Uro-technology and SoMe Working Group of the Young Academic Urologists Working Party of the European Association of Urology.	review; journal article	forward	1	REC-AIBIOGU-000370	new		yes	yes	yes
MED	32205581	Artificial intelligence driven next-generation renal histomorphometry.	2020	Curr Opin Nephrol Hypertens	Santo BA, Rosenberg AZ, Sarder P.	research support, non-u.s. gov't; research-article; review; journal article; research support, n.i.h., extramural	forward	1	REC-AIBIOGU-000201	new		yes	yes	yes
MED	31926806	Artificial intelligence for diagnosis and grading of prostate cancer in biopsies: a population-based, diagnostic study.	2020	Lancet Oncol	Strom P, Kartasalo K, Olsson H, Solorzano L, Delahunt B, Berney DM, Bostwick DG, Evans AJ, Grignon DJ, Humphrey PA, Iczkowski KA, Kench JG, Kristiansen G, van der Kwast TH, Leite KRM, McKenney JK, Oxley J, Pan CC, Samaratunga H, Srigley JR, Takahashi H, Tsuzuki T, Varma M, Zhou M, Lindberg J, Lindskog C, Ruusuvuori P, Wahlby C, Gronberg H, Rantalainen M, Egevad L, Eklund M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	31901213	Automated differentiation of benign renal oncocytoma and chromophobe renal cell carcinoma on computed tomography using deep learning.	2020	BJU Int	Baghdadi A, Aldhaam NA, Elsayed AS, Hussein AA, Cavuoto LA, Kauffman E, Guru KA.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	32222054	Deep Learning Based on MRI for Differentiation of Low- and High-Grade in Low-Stage Renal Cell Carcinoma.	2020	J Magn Reson Imaging	Zhao Y, Chang M, Wang R, Xi IL, Chang K, Huang RY, Vallieres M, Habibollahi P, Dagli MS, Palmer M, Zhang PJ, Silva AC, Yang L, Soulen MC, Zhang Z, Bai HX, Stavropoulos SW.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	33177576	Differentiation of low and high grade renal cell carcinoma on routine MRI with an externally validated automatic machine learning algorithm.	2020	Sci Rep	Purkayastha S, Zhao Y, Wu J, Hu R, McGirr A, Singh S, Chang K, Huang RY, Zhang PJ, Silva A, Soulen MC, Stavropoulos SW, Zhang Z, Bai HX.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	33335285	Integrative multi-omics analysis of muscle-invasive bladder cancer identifies prognostic biomarkers for frontline chemotherapy and immunotherapy.	2020	Commun Biol	Mo Q, Li R, Adeegbe DO, Peng G, Chan KS.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000268	new		yes	yes	yes
MED	32737518	Machine learning-based analysis of [<sup>18</sup>F]DCFPyL PET radiomics for risk stratification in primary prostate cancer.	2020	Eur J Nucl Med Mol Imaging	Cysouw MCF, Jansen BHE, van de Brug T, Oprea-Lager DE, Pfaehler E, de Vries BM, van Moorselaar RJA, Hoekstra OS, Vis AN, Boellaard R.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000138	new		yes	yes	yes
MED	32462799	Multiparametric MRI Radiomic Model for Preoperative Predicting WHO/ISUP Nuclear Grade of Clear Cell Renal Cell Carcinoma.	2020	J Magn Reson Imaging	Li Q, Liu YJ, Dong D, Bai X, Huang QB, Guo AT, Ye HY, Tian J, Wang HY.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
